section,titre,date,debut,fin,lieu,adresse,type,domicile,notes
"flag","Champ. Mixte – Qualification J1","2026-10-17","09:00","","","","Tournoi","","Week-end de compétition – sam. ou dim."
"flag","Champ. Mixte – Qualification J1","2026-10-18","09:00","","","","Tournoi","","Week-end de compétition – sam. ou dim."
"flag","Champ. Mixte – Qualification J2","2026-11-07","09:00","","","","Tournoi","","Week-end de compétition – sam. ou dim."
"flag","Champ. Mixte – Qualification J2","2026-11-08","09:00","","","","Tournoi","","Week-end de compétition – sam. ou dim."
"flag","Coupe de France – Qualification J2","2026-11-21","09:00","","","","Tournoi","","Week-end de compétition – sam. ou dim."
"flag","Coupe de France – Qualification J2","2026-11-22","09:00","","","","Tournoi","","Week-end de compétition – sam. ou dim."
"flag","Champ. Mixte – Qualification J3","2026-12-05","09:00","","","","Tournoi","","Week-end de compétition – sam. ou dim."
"flag","Champ. Mixte – Qualification J3","2026-12-06","09:00","","","","Tournoi","","Week-end de compétition – sam. ou dim."
"flag","Coupe de France – Demi-Finale J1","2027-02-06","09:00","","","","Tournoi","","Week-end de compétition – sam. ou dim."
"flag","Coupe de France – Demi-Finale J1","2027-02-07","09:00","","","","Tournoi","","Week-end de compétition – sam. ou dim."
"flag","Champ. Mixte – Journée 1","2027-02-13","09:00","","","","Tournoi","","Week-end de compétition – sam. ou dim."
"flag","Champ. Mixte – Journée 1","2027-02-14","09:00","","","","Tournoi","","Week-end de compétition – sam. ou dim."
"flag","Champ. Mixte – Journée 2","2027-02-27","09:00","","","","Tournoi","","Week-end de compétition – sam. ou dim."
"flag","Champ. Mixte – Journée 2","2027-02-28","09:00","","","","Tournoi","","Week-end de compétition – sam. ou dim."
"flag","Coupe de France – Demi-Finale J2","2027-03-06","09:00","","","","Tournoi","","Week-end de compétition – sam. ou dim."
"flag","Coupe de France – Demi-Finale J2","2027-03-07","09:00","","","","Tournoi","","Week-end de compétition – sam. ou dim."
"flag","Champ. Mixte – Journée 3","2027-03-13","09:00","","","","Tournoi","","Week-end de compétition – sam. ou dim."
"flag","Champ. Mixte – Journée 3","2027-03-14","09:00","","","","Tournoi","","Week-end de compétition – sam. ou dim."
"flag","Coupe de France – Demi-Finale J3","2027-03-27","09:00","","","","Tournoi","","Week-end de compétition – sam. ou dim."
"flag","Coupe de France – Demi-Finale J3","2027-03-28","09:00","","","","Tournoi","","Week-end de compétition – sam. ou dim."
"flag","Champ. Mixte – Demi-Finale","2027-04-03","09:00","","","","Match","","1ère manche – sam. ou dim."
"flag","Champ. Mixte – Demi-Finale","2027-04-04","09:00","","","","Match","","1ère manche – sam. ou dim."
"flag","Champ. Mixte – Demi-Finale","2027-04-17","09:00","","","","Match","","2ème manche – sam. ou dim."
"flag","Champ. Mixte – Demi-Finale","2027-04-18","09:00","","","","Match","","2ème manche – sam. ou dim."
"flag","Coupe de France – Finale Conf. J1","2027-04-24","09:00","","","","Tournoi","","Week-end de compétition – sam. ou dim."
"flag","Coupe de France – Finale Conf. J1","2027-04-25","09:00","","","","Tournoi","","Week-end de compétition – sam. ou dim."
"flag","Champ. Mixte – Finale de Conférence","2027-05-01","09:00","","","","Tournoi","","Week-end de compétition – sam. ou dim."
"flag","Champ. Mixte – Finale de Conférence","2027-05-02","09:00","","","","Tournoi","","Week-end de compétition – sam. ou dim."
"flag","Coupe de France – Finale Conf. J2","2027-05-08","09:00","","","","Tournoi","","Week-end de compétition – sam. ou dim."
"flag","Coupe de France – Finale Conf. J2","2027-05-09","09:00","","","","Tournoi","","Week-end de compétition – sam. ou dim."
"flag","Champ. Mixte – Finale Nationale","2027-05-29","09:00","","","","Finale","","Lieu à confirmer FFFA"
"flag","Champ. Mixte – Finale Nationale","2027-05-30","09:00","","","","Finale","","Lieu à confirmer FFFA"
"flag","Coupe de France – Finale Nationale","2027-06-19","09:00","","","","Finale","","Lieu à confirmer FFFA"
"flag","Coupe de France – Finale Nationale","2027-06-20","09:00","","","","Finale","","Lieu à confirmer FFFA"
"club","Assemblée Générale du club","2026-07-11","14:00","","Maison des Sports","Tours","Assemblée","oui",""
"club","Reprise générale des entraînements","2026-08-17","20:00","22:30","Stade de la Chambrerie","Tours","Événement club","oui","Rentrée sportive – toutes sections"
"club","Tours en Fête","2026-09-13","10:00","18:00","Lac de la Bergeonnerie","Tours","Événement","non","Portes ouvertes sportives de la ville"
"club","Gala des Pionniers 2026","2026-11-28","19:00","","","Tours","Gala","non","Date à confirmer avec le bureau"
"club","Anniversaire du club – 40 ans","2027-04-14","","","","Tours","Anniversaire","","40 ans des Pionniers de Touraine"
"club","AG & repas de fin de saison","2027-06-28","11:00","16:00","Club house","Tours","Événement club","oui","Bilan de saison + barbecue"
