section,titre,date,debut,fin,lieu,adresse,type,domicile,notes
"footus","Début affiliation","2026-07-01","","","","Tours","Administratif","","Ouverture des affiliations"
"footus","Formation CAM","2026-07-06","","","","Tours","Formation","","Formation entraîneurs"
"footus","Ouverture saison NFL","2026-07-16","","","","Tours","Événement","",""
"footus","Summer Camp","2026-08-23","","","","Tours","Stage","","Stage d'été"
"footus","Open Combine","2026-08-30","","","","Tours","Combine","","Ouverture des détections / recrutement Foot US"
"footus","Open Meeting","2026-09-21","","","","Tours","Réunion","","Réunion ouverte aux nouveaux"
"footus","End Combine","2026-10-01","","","","Tours","Combine","","Clôture des détections / recrutement Foot US"
"footus","2 Days Camp","2026-10-02","","","","Tours","Stage","","Camp de 2 jours – meeting, média, cohésion, soirée"
"footus","Scrimmage","2026-10-18","","","","Tours","Match amical","","Match de préparation"
"footus","NFL Paris","2026-10-25","","","","Tours","Événement","","Sortie équipe – match NFL à Paris"
"footus","Noël de l'équipe","2026-12-17","","","","Tours","Événement","","Soirée de Noël Foot US"
"footus","Foot US – Journée 1 (bis)","2027-01-23","","","","","Match","","Journée de championnat"
"footus","Foot US – Journée 1","2027-01-31","","","","","Match","","Journée de championnat"
"footus","Foot US – Journée 2","2027-02-13","","","","","Match","","Journée de championnat"
"footus","Foot US – Journée 3","2027-02-27","","","","","Match","","Journée de championnat"
"footus","Foot US – Journée 4","2027-03-13","","","","","Match","","Journée de championnat"
"footus","Foot US – Journée 5","2027-03-27","","","","","Match","","Journée de championnat"
"footus","Foot US – Journée 6","2027-04-10","","","","","Match","","Journée de championnat"
"footus","Foot US – Journée 7","2027-04-24","","","","","Match","","Journée de championnat"
"footus","Foot US – Journée 7 (bis)","2027-05-01","","","","","Match","","Journée de championnat"
"footus","Foot US – Journée 8","2027-05-15","","","","","Match","","Journée de championnat"
"footus","Foot US – Barrage","2027-05-22","","","","","Match","","Journée de championnat"
"footus","Foot US – Demi-finale Conf.","2027-06-05","","","","","Match","","Journée de championnat"
"footus","Foot US – Finale de Conf.","2027-06-12","","","","","Finale","","Journée de championnat"
"footus","Foot US – Finale Nationale","2027-06-26","","","","","Finale","","Journée de championnat"
